Lexeme                              LINE NO         TOKEN NAME             VALUE IF NUM           PARENT SYMBOL          IS LEAF NODE    NODE SYMBOL           
~                                   13              TK_NOT                 -----                  booleanExpression      Yes             -----                 
(                                   13              TK_OP                  -----                  booleanExpression      Yes             -----                 
-----                               -----           -----                  -----                  booleanExpression      No             var                   
c4bbb                               13              TK_ID                  -----                  singleOrRecId          Yes             -----                 
-----                               -----           -----                  -----                  var                    No             singleOrRecId         
-----                               -----           -----                  -----                  singleOrRecId          Yes            fieldOrNot            
-----                               -----           -----                  -----                  booleanExpression      No             relationalOp          
==                                  13              TK_EQ                  -----                  relationalOp           Yes             -----                 
-----                               -----           -----                  -----                  booleanExpression      No             booleanExpression     
-----                               -----           -----                  -----                  booleanExpression      No             var                   
0                                   13              TK_NUM                 0                      var                    Yes             -----                 
-----                               -----           -----                  -----                  booleanExpression      No             booleanExpression     
)                                   13              TK_CL                  -----                  booleanExpression      Yes             -----                 
)                                   13              TK_CL                  -----                  booleanExpression      Yes             -----                 
-----                               -----           -----                  -----                  booleanExpression      Yes            logicalOp             
(                                   13              TK_OP                  -----                  booleanExpression      Yes             -----                 
-----                               -----           -----                  -----                  booleanExpression      No             var                   
c4bbb                               13              TK_ID                  -----                  singleOrRecId          Yes             -----                 
-----                               -----           -----                  -----                  var                    No             singleOrRecId         
-----                               -----           -----                  -----                  singleOrRecId          Yes            fieldOrNot            
-----                               -----           -----                  -----                  booleanExpression      No             relationalOp          
>                                   13              TK_GT                  -----                  relationalOp           Yes             -----                 
-----                               -----           -----                  -----                  booleanExpression      No             booleanExpression     
-----                               -----           -----                  -----                  booleanExpression      No             var                   
78.56                               13              TK_RNUM                78.56                  var                    Yes             -----                 
-----                               -----           -----                  -----                  conditionalStmt        No             booleanExpression     
)                                   13              TK_CL                  -----                  booleanExpression      Yes             -----                 
)                                   13              TK_CL                  -----                  conditionalStmt        Yes             -----                 
then                                14              TK_THEN                -----                  conditionalStmt        Yes             -----                 
-----                               -----           -----                  -----                  conditionalStmt        No             stmt                  
c6                                  15              TK_ID                  -----                  singleOrRecId          Yes             -----                 
-----                               -----           -----                  -----                  assignmentStmt         No             singleOrRecId         
-----                               -----           -----                  -----                  singleOrRecId          Yes            fieldOrNot            
<---                                15              TK_ASSIGNOP            -----                  assignmentStmt         Yes             -----                 
-----                               -----           -----                  -----                  unit                   No             nestedExp             
-----                               -----           -----                  -----                  nestedExp              No             var                   
d4cbcd5677                          15              TK_ID                  -----                  singleOrRecId          Yes             -----                 
-----                               -----           -----                  -----                  var                    No             singleOrRecId         
-----                               -----           -----                  -----                  singleOrRecId          Yes            fieldOrNot            
-----                               -----           -----                  -----                  arithmeticExpression   No             unit                  
-----                               -----           -----                  -----                  mulDivRem              No             mulDiv                
/                                   15              TK_DIV                 -----                  mulDiv                 Yes             -----                 
-----                               -----           -----                  -----                  mulDivRem              No             nestedExp             
-----                               -----           -----                  -----                  nestedExp              No             var                   
c4bbb                               15              TK_ID                  -----                  singleOrRecId          Yes             -----                 
-----                               -----           -----                  -----                  var                    No             singleOrRecId         
-----                               -----           -----                  -----                  singleOrRecId          Yes            fieldOrNot            
-----                               -----           -----                  -----                  unit                   No             mulDivRem             
-----                               -----           -----                  -----                  mulDivRem              Yes            mulDivRem             
-----                               -----           -----                  -----                  assignmentStmt         No             arithmeticExpression  
-----                               -----           -----                  -----                  arithmeticExpression   Yes            addSubRem             
-----                               -----           -----                  -----                  stmt                   No             assignmentStmt        
-----                               -----           -----                  -----                  assignmentStmt         Yes            TK_SEM                
-----                               -----           -----                  -----                  conditionalStmt        Yes            otherStmts            
-----                               -----           -----                  -----                  stmt                   No             conditionalStmt       
-----                               -----           -----                  -----                  conditionalStmt        No             elseBlock             
endif                               18              TK_ENDIF               -----                  elseBlock              Yes             -----                 
-----                               -----           -----                  -----                  otherStmts             No             otherStmts            
-----                               -----           -----                  -----                  otherStmts             No             stmt                  
b5                                  25              TK_ID                  -----                  singleOrRecId          Yes             -----                 
-----                               -----           -----                  -----                  assignmentStmt         No             singleOrRecId         
-----                               -----           -----                  -----                  singleOrRecId          Yes            fieldOrNot            
-----                               -----           -----                  -----                  assignmentStmt         Yes            TK_ASSIGNOP           
-----                               -----           -----                  -----                  assignmentStmt         Yes            arithmeticExpression  
-----                               -----           -----                  -----                  stmt                   No             assignmentStmt        
;                                   25              TK_SEM                 -----                  assignmentStmt         Yes             -----                 
-----                               -----           -----                  -----                  otherStmts             No             otherStmts            
-----                               -----           -----                  -----                  otherStmts             No             stmt                  
d5cb34567                           26              TK_ID                  -----                  singleOrRecId          Yes             -----                 
-----                               -----           -----                  -----                  assignmentStmt         No             singleOrRecId         
-----                               -----           -----                  -----                  singleOrRecId          Yes            fieldOrNot            
-----                               -----           -----                  -----                  assignmentStmt         Yes            TK_ASSIGNOP           
-----                               -----           -----                  -----                  assignmentStmt         Yes            arithmeticExpression  
-----                               -----           -----                  -----                  stmt                   No             assignmentStmt        
;                                   26              TK_SEM                 -----                  assignmentStmt         Yes             -----                 
-----                               -----           -----                  -----                  otherStmts             No             otherStmts            
-----                               -----           -----                  -----                  otherStmts             No             stmt                  
b3b444                              27              TK_ID                  -----                  singleOrRecId          Yes             -----                 
-----                               -----           -----                  -----                  assignmentStmt         No             singleOrRecId         
-----                               -----           -----                  -----                  singleOrRecId          Yes            fieldOrNot            
-----                               -----           -----                  -----                  assignmentStmt         Yes            TK_ASSIGNOP           
-----                               -----           -----                  -----                  assignmentStmt         Yes            arithmeticExpression  
-----                               -----           -----                  -----                  stmt                   No             assignmentStmt        
;                                   27              TK_SEM                 -----                  assignmentStmt         Yes             -----                 
-----                               -----           -----                  -----                  otherStmts             No             otherStmts            
-----                               -----           -----                  -----                  otherStmts             No             stmt                  
c3                                  28              TK_ID                  -----                  singleOrRecId          Yes             -----                 
-----                               -----           -----                  -----                  assignmentStmt         No             singleOrRecId         
-----                               -----           -----                  -----                  singleOrRecId          Yes            fieldOrNot            
-----                               -----           -----                  -----                  assignmentStmt         Yes            TK_ASSIGNOP           
-----                               -----           -----                  -----                  assignmentStmt         Yes            arithmeticExpression  
-----                               -----           -----                  -----                  stmt                   No             assignmentStmt        
;                                   28              TK_SEM                 -----                  assignmentStmt         Yes             -----                 
-----                               -----           -----                  -----                  otherStmts             No             otherStmts            
-----                               -----           -----                  -----                  otherStmts             No             stmt                  
b5                                  29              TK_ID                  -----                  singleOrRecId          Yes             -----                 
-----                               -----           -----                  -----                  assignmentStmt         No             singleOrRecId         
-----                               -----           -----                  -----                  singleOrRecId          Yes            fieldOrNot            
-----                               -----           -----                  -----                  assignmentStmt         Yes            TK_ASSIGNOP           
-----                               -----           -----                  -----                  assignmentStmt         Yes            arithmeticExpression  
-----                               -----           -----                  -----                  stmt                   No             assignmentStmt        
;                                   29              TK_SEM                 -----                  assignmentStmt         Yes             -----                 
-----                               -----           -----                  -----                  otherStmts             No             otherStmts            
-----                               -----           -----                  -----                  otherStmts             No             stmt                  
read                                30              TK_READ                -----                  ioStmt                 Yes             -----                 
(                                   30              TK_OP                  -----                  ioStmt                 Yes             -----                 
-----                               -----           -----                  -----                  ioStmt                 No             var                   
d5cb34567                           30              TK_ID                  -----                  singleOrRecId          Yes             -----                 
-----                               -----           -----                  -----                  var                    No             singleOrRecId         
-----                               -----           -----                  -----                  singleOrRecId          Yes            fieldOrNot            
)                                   30              TK_CL                  -----                  ioStmt                 Yes             -----                 
-----                               -----           -----                  -----                  stmt                   No             ioStmt                
;                                   30              TK_SEM                 -----                  ioStmt                 Yes             -----                 
-----                               -----           -----                  -----                  otherStmts             No             otherStmts            
-----                               -----           -----                  -----                  otherStmts             No             stmt                  
read                                31              TK_READ                -----                  ioStmt                 Yes             -----                 
(                                   31              TK_OP                  -----                  ioStmt                 Yes             -----                 
-----                               -----           -----                  -----                  ioStmt                 No             var                   
45                                  31              TK_NUM                 45                     var                    Yes             -----                 
)                                   31              TK_CL                  -----                  ioStmt                 Yes             -----                 
-----                               -----           -----                  -----                  stmt                   No             ioStmt                
;                                   31              TK_SEM                 -----                  ioStmt                 Yes             -----                 
-----                               -----           -----                  -----                  otherStmts             No             otherStmts            
-----                               -----           -----                  -----                  otherStmts             No             stmt                  
read                                32              TK_READ                -----                  ioStmt                 Yes             -----                 
(                                   32              TK_OP                  -----                  ioStmt                 Yes             -----                 
-----                               -----           -----                  -----                  ioStmt                 No             var                   
b3b444                              32              TK_ID                  -----                  singleOrRecId          Yes             -----                 
-----                               -----           -----                  -----                  var                    No             singleOrRecId         
-----                               -----           -----                  -----                  singleOrRecId          Yes            fieldOrNot            
)                                   32              TK_CL                  -----                  ioStmt                 Yes             -----                 
-----                               -----           -----                  -----                  stmt                   No             ioStmt                
;                                   32              TK_SEM                 -----                  ioStmt                 Yes             -----                 
-----                               -----           -----                  -----                  otherStmts             No             otherStmts            
-----                               -----           -----                  -----                  otherStmts             No             stmt                  
[                                   34              TK_SQL                 -----                  outputParameters       Yes             -----                 
c3                                  34              TK_ID                  -----                  idList                 Yes             -----                 
-----                               -----           -----                  -----                  outputParameters       No             idList                
-----                               -----           -----                  -----                  idList                 Yes            more_ids              
]                                   34              TK_SQR                 -----                  outputParameters       Yes             -----                 
-----                               -----           -----                  -----                  funCallStmt            No             outputParameters      
<---                                34              TK_ASSIGNOP            -----                  outputParameters       Yes             -----                 
call                                34              TK_CALL                -----                  funCallStmt            Yes             -----                 
_computeFunctionValue               34              TK_FUNID               -----                  funCallStmt            Yes             -----                 
with                                34              TK_WITH                -----                  funCallStmt            Yes             -----                 
