Lexeme                         LINE NO         TOKEN NAME             VALUE IF NUM           PARENT SYMBOL          IS LEAF NODE    NODE SYMBOL           
-----                          -----           -----                  -----                  typeDefinitions        No             typeDefinitions       
-----                          -----           -----                  -----                  typeDefinitions        No             actualOrRedefined     
record                         45              TK_RECORD              -----                  typeDefinition         Yes             -----                 
#variantrecord                 45              TK_RUID                -----                  typeDefinition         Yes             -----                 
type                           46              TK_TYPE                -----                  fieldDefinition        Yes             -----                 
-----                          -----           -----                  -----                  fieldDefinition        No             fieldType             
-----                          -----           -----                  -----                  fieldType              No             primitiveDataType     
int                            46              TK_INT                 -----                  primitiveDataType      Yes             -----                 
:                              46              TK_COLON               -----                  fieldDefinition        Yes             -----                 
tag                            46              TK_FIELDID             -----                  fieldDefinition        Yes             -----                 
-----                          -----           -----                  -----                  fieldDefinitions       No             fieldDefinition       
;                              46              TK_SEM                 -----                  fieldDefinition        Yes             -----                 
type                           47              TK_TYPE                -----                  fieldDefinition        Yes             -----                 
-----                          -----           -----                  -----                  fieldDefinition        No             fieldType             
-----                          -----           -----                  -----                  fieldType              No             constructedDataType   
#shape                         47              TK_RUID                -----                  constructedDataType    Yes             -----                 
:                              47              TK_COLON               -----                  fieldDefinition        Yes             -----                 
s                              47              TK_FIELDID             -----                  fieldDefinition        Yes             -----                 
-----                          -----           -----                  -----                  fieldDefinitions       No             fieldDefinition       
;                              47              TK_SEM                 -----                  fieldDefinition        Yes             -----                 
-----                          -----           -----                  -----                  typeDefinition         No             fieldDefinitions      
-----                          -----           -----                  -----                  fieldDefinitions       Yes            moreFields            
-----                          -----           -----                  -----                  actualOrRedefined      No             typeDefinition        
endrecord                      48              TK_ENDRECORD           -----                  typeDefinition         Yes             -----                 
-----                          -----           -----                  -----                  typeDefinitions        No             typeDefinitions       
-----                          -----           -----                  -----                  typeDefinitions        Yes            typeDefinitions       
type                           50              TK_TYPE                -----                  declaration            Yes             -----                 
-----                          -----           -----                  -----                  declaration            No             dataType              
record                         50              TK_RECORD              -----                  constructedDataType    Yes             -----                 
-----                          -----           -----                  -----                  dataType               No             constructedDataType   
#variantrecord                 50              TK_RUID                -----                  constructedDataType    Yes             -----                 
